iter	Logloss
0	0.6810589398
1	0.672217258
2	0.6625256567
3	0.6529941363
4	0.6442276221
5	0.6363071312
6	0.6289952025
7	0.6205719293
8	0.6145396337
9	0.6088323751
10	0.6033863172
11	0.5981209621
12	0.5932008876
13	0.5849630366
14	0.5784582426
15	0.5718196982
16	0.5669403341
17	0.5632871693
18	0.5584653619
19	0.5571702861
20	0.5503112657
21	0.5491542698
22	0.5427198423
23	0.5373193925
24	0.5327222833
25	0.5277747557
26	0.5256386013
27	0.5227327118
28	0.519937562
29	0.5156209722
30	0.5118332665
31	0.5091124179
32	0.5068263576
33	0.5057037793
34	0.5018154462
35	0.4986398906
36	0.4971447268
37	0.4952984261
38	0.4927886032
39	0.4918682222
40	0.4904259806
41	0.4877307702
42	0.4859428928
43	0.4846763463
44	0.4824281359
45	0.4821092863
46	0.4800935905
47	0.4783866351
48	0.4769820296
49	0.475129255
50	0.4746315659
51	0.4719799494
52	0.4701174875
53	0.4681820075
54	0.4660065454
55	0.4652016265
56	0.4636175786
57	0.4626403139
58	0.4617647105
59	0.4595020658
60	0.4584470837
61	0.4575990756
62	0.4564274238
63	0.4546778158
64	0.4538442462
65	0.4528214197
66	0.4515165084
67	0.4496574125
68	0.4483284335
69	0.4480348191
70	0.4461173132
71	0.4455875715
72	0.4440968419
73	0.4439614651
74	0.4422134929
75	0.4405556425
76	0.4396988533
77	0.4370994275
78	0.4359672373
79	0.4348613037
80	0.4340629977
81	0.4327982664
82	0.4324662222
83	0.4321812614
84	0.430853742
85	0.429301607
86	0.4290440945
87	0.4268789958
88	0.4251403697
89	0.4247942126
90	0.4227345726
91	0.421795603
92	0.4210932674
93	0.4196786006
94	0.4186998474
95	0.4181466453
96	0.4172131407
97	0.4170014801
98	0.4151644406
99	0.4144867395
100	0.4143093819
101	0.4131923207
102	0.4130477009
103	0.4121605899
104	0.4097666728
105	0.4090870202
106	0.408845177
107	0.4081346753
108	0.40665382
109	0.4060041821
110	0.4049274278
111	0.4037045575
112	0.4026422801
113	0.4003992012
114	0.4002163688
115	0.3993055308
116	0.3991726814
117	0.3989826347
118	0.398010372
119	0.3976453047
120	0.396976466
121	0.3955720311
122	0.3949240421
123	0.3944201268
124	0.3938801239
125	0.3934454647
126	0.3918627765
127	0.3917238625
128	0.3912077819
129	0.3906120878
130	0.3900666981
131	0.3892630568
132	0.3888671013
133	0.3872918623
134	0.3870313281
135	0.3859642
136	0.3837747587
137	0.3828439574
138	0.3824510978
139	0.3813874906
140	0.3805947977
141	0.3795538807
142	0.3789526617
143	0.3781130291
144	0.3768670655
145	0.3761397383
146	0.375992222
147	0.3754283004
148	0.3748740742
149	0.3743880266
150	0.3740548094
151	0.3725953538
152	0.3710273693
153	0.3709170953
154	0.3700613431
155	0.3689634132
156	0.3668438502
157	0.3661351775
158	0.3653316322
159	0.3652486844
160	0.3647713088
161	0.3645110569
162	0.3644371563
163	0.3633689438
164	0.3630852616
165	0.3627328676
166	0.3624877994
167	0.3618367736
168	0.3616581937
169	0.360778922
170	0.3605065222
171	0.3602471892
