iter	Passed	Remaining
0	22	22090
1	33	16701
2	48	15959
3	63	15913
4	85	17040
5	101	16884
6	107	15210
7	120	14916
8	122	13441
9	123	12230
10	129	11615
11	135	11176
12	147	11197
13	154	10862
14	182	11955
15	198	12236
16	201	11639
17	202	11069
18	209	10813
19	210	10335
20	221	10343
21	223	9926
22	236	10037
23	254	10345
24	270	10553
25	280	10511
26	298	10765
27	313	10872
28	320	10714
29	323	10456
30	329	10312
31	333	10076
32	339	9955
33	349	9942
34	363	10026
35	381	10218
36	384	10004
37	392	9928
38	400	9862
39	406	9764
40	408	9562
41	421	9620
42	434	9672
43	440	9576
44	450	9550
45	451	9360
46	464	9417
47	473	9388
48	486	9434
49	501	9537
50	503	9372
51	516	9409
52	523	9347
53	534	9358
54	545	9376
55	558	9416
56	570	9437
57	588	9557
58	597	9527
59	610	9566
60	625	9624
61	631	9559
62	635	9448
63	648	9490
64	658	9465
65	668	9456
66	687	9569
67	698	9572
68	710	9586
69	715	9511
70	726	9503
71	739	9526
72	749	9517
73	751	9405
74	778	9601
75	785	9549
76	788	9457
77	806	9537
78	820	9566
79	839	9656
80	853	9683
81	862	9654
82	871	9630
83	879	9595
84	889	9572
85	902	9594
86	907	9526
87	925	9595
88	937	9596
89	946	9575
90	964	9635
91	984	9720
92	999	9745
93	1019	9821
94	1036	9877
95	1042	9817
96	1056	9834
97	1058	9738
98	1075	9788
99	1086	9774
100	1091	9711
101	1104	9723
102	1109	9663
103	1116	9617
104	1133	9657
105	1149	9693
106	1155	9646
107	1172	9683
108	1184	9684
109	1198	9693
110	1215	9736
111	1222	9692
112	1232	9677
113	1250	9716
114	1256	9667
115	1266	9650
116	1275	9623
117	1279	9563
118	1289	9544
119	1297	9517
120	1307	9496
121	1331	9585
122	1343	9579
123	1352	9551
124	1364	9553
125	1380	9573
126	1398	9610
127	1399	9536
128	1405	9493
129	1418	9493
130	1428	9475
131	1438	9457
132	1454	9483
133	1471	9509
134	1483	9502
135	1496	9504
136	1505	9484
137	1519	9494
138	1528	9465
139	1546	9501
140	1561	9513
141	1582	9562
142	1585	9504
143	1596	9491
144	1599	9433
145	1614	9445
146	1617	9385
147	1630	9388
148	1641	9374
149	1648	9341
150	1660	9337
151	1678	9362
152	1694	9381
153	1701	9345
154	1710	9327
155	1720	9310
156	1734	9312
157	1744	9295
158	1754	9277
159	1759	9239
160	1769	9219
161	1772	9168
162	1777	9127
163	1790	9127
164	1799	9105
165	1804	9067
166	1813	9047
167	1829	9061
168	1842	9061
169	1855	9059
170	1861	9025
171	1864	8977
172	1888	9028
173	1903	9035
174	1916	9035
175	1920	8992
176	1927	8963
177	1929	8910
178	1948	8939
179	1960	8930
180	1969	8912
181	1983	8915
182	2002	8941
183	2007	8904
